dataset,source,IR,n,d,fiis_R_n,fiis_R_p,fiis_R_g,fiis_C,fiis_R,fiis_trace_0,fiis_trace_1
oil,imblearn,21.854,937,49,0.0458,8.8218,1.0701,0.8737,0.3758,661.576,248.6231
optical_digits,imblearn,9.144,5620,64,0.1094,5.2922,0.6611,1.2645,0.4829,2797.8264,1348.9888
ozone_level,imblearn,33.74,2536,72,0.0296,11.0125,0.8927,1.2077,0.3517,1929.659,677.3325
page-blocks-1-3_vs_4,KEEL,15.857,472,10,0.0631,3.2542,5.7991,0.4919,0.5679,82.4682,46.7679
page-blocks0,KEEL,8.789,5472,10,0.1138,3.4819,15.2786,0.2257,1.3637,630.1684,858.5345
pen_digits,imblearn,9.419,10992,16,0.1062,5.2766,1.2548,0.8966,0.6302,2900.2853,1827.5468
pima,KEEL,1.866,768,8,0.536,1.2881,1.4365,0.9079,0.9001,386.497,347.5908
protein_homo,imblearn,111.462,145751,74,0.009,23.8759,12.646,0.1273,0.3445,15330.7361,5278.4337
satimage,imblearn,9.28,6435,36,0.1078,1.9839,0.3373,1.2354,0.0891,10549.9023,939.6711
scene,imblearn,12.599,2407,294,0.0794,4.9807,0.9151,1.1107,0.4015,16191.8717,6494.0631
segment0,KEEL,6.015,2308,19,0.1662,4.858,0.4024,1.782,0.5791,178.3533,103.1629
shuttle-c0-vs-c4,KEEL,13.87,1829,9,0.0721,13.2652,16.7156,1.4761,23.8289,2.4223,55.0295
shuttle-c2-vs-c4,KEEL,20.5,129,9,0.0488,14.0971,3.4531,0.4269,1.0983,7.9276,6.4166
sick_euthyroid,imblearn,9.795,3163,42,0.1021,5.9263,0.5867,1.772,0.6282,1636.1781,1026.5342
solar_flare_m0,imblearn,19.426,1389,32,0.0515,3.3105,2.0512,0.8737,0.3051,1830.1927,556.7955
spectrometer,imblearn,10.8,531,93,0.0926,7.7794,6.7723,0.2848,1.3874,610.2153,841.189
thyroid_sick,imblearn,15.329,3772,52,0.0652,7.8403,1.2416,0.9189,0.5469,2117.7953,1155.4973
us_crime,imblearn,12.293,1994,100,0.0813,5.6935,2.0239,0.6808,0.6375,5228.0796,3329.7829
vehicle0,KEEL,3.251,846,18,0.3076,3.1963,1.031,0.8431,0.8543,354.0862,301.6037
vehicle1,KEEL,2.899,846,18,0.345,1.8434,0.974,1.0287,0.637,930.2393,592.5622
vehicle2,KEEL,2.881,846,18,0.3471,2.4984,1.004,0.859,0.7462,453.1136,337.8984
vehicle3,KEEL,2.991,846,18,0.3344,1.845,0.9954,1.0441,0.6409,972.2178,622.8662
vowel0,KEEL,9.978,988,13,0.1002,7.1385,1.797,0.9353,1.2024,185.4736,222.8897
webpage,imblearn,34.454,34780,300,0.029,11.1154,11.6326,0.1558,0.5851,132059.1616,77254.331
wine_quality,imblearn,25.765,4898,11,0.0388,3.1672,1.8464,0.9234,0.2095,1442.9556,301.9708
wisconsin,KEEL,1.858,683,9,0.5383,1.9832,4.8367,0.3747,1.9359,23.2623,44.7554
yeast-0-2-5-6_vs_3-7-8-9,KEEL,9.141,1004,8,0.1094,3.1438,3.3925,0.8259,0.9615,274.8601,264.1049
yeast-0-2-5-7-9_vs_3-6-8,KEEL,9.141,1004,8,0.1094,4.8202,2.6538,0.9855,1.374,125.4305,172.2131
yeast-0-3-5-9_vs_7-8,KEEL,9.12,506,8,0.1096,1.9787,1.7396,1.0088,0.3775,151.6264,57.4813
yeast-0-5-6-7-9_vs_4,KEEL,9.353,528,8,0.1069,3.2848,1.1421,0.8495,0.3367,156.5708,51.9127
yeast-1-2-8-9_vs_7,KEEL,30.567,947,8,0.0327,3.763,1.0811,1.9494,0.2589,106.7157,27.4536
yeast-1-4-5-8_vs_7,KEEL,22.1,693,8,0.0452,2.14,0.7259,1.657,0.1174,114.6861,13.4477
yeast-1_vs_7,KEEL,14.3,459,7,0.0699,3.3711,1.2903,1.4652,0.4458,77.3682,34.2653
yeast-2_vs_4,KEEL,9.078,514,8,0.1102,4.1372,2.0223,0.9103,0.8266,79.9793,65.5611
yeast-2_vs_8,KEEL,23.1,482,8,0.0433,3.2986,3.9588,0.7683,0.4306,48.1106,20.5726
yeast1,KEEL,2.459,1484,8,0.4066,1.3508,0.7885,1.2358,0.535,750.7829,400.8738
yeast3,KEEL,8.104,1484,8,0.1234,4.7308,0.8238,0.9027,0.4333,259.6251,112.6063
yeast5,KEEL,32.727,1484,8,0.0306,16.8749,1.8771,0.6216,0.6014,134.7204,80.7107
yeast6,KEEL,41.4,1484,8,0.0242,11.8807,1.3044,0.8141,0.3044,171.4071,51.9511
yeast_me2,imblearn,28.098,1484,8,0.0356,6.1585,1.4834,0.763,0.2426,255.2221,61.4082
yeast_ml8,imblearn,12.579,2417,103,0.0795,2.04,1.001,0.9996,0.1623,10625.3751,1722.8845
