dataset,source,n,d,IR,R_mean,R_std,R_n_mean,R_n_std,R_p_mean,R_p_std,R_g_mean,R_g_std,C_mean,C_std,pct_arch_A,pct_arch_C,archetype_label,archetype_main_label,pct_comp_O,pct_comp_B,pct_comp_D,compensation_label,compensation_main_label
optical_digits,imblearn,5620,64,9.144,0.4829,0.0211,0.1094,0.0001,5.2922,0.1518,0.6611,0.0272,1.2645,0.0731,0.0,100.0,C,C,0.0,0.0,100.0,D,D
ecoli-0-4-6_vs_5,KEEL,203,6,9.15,0.5968,0.0818,0.1093,0.0004,4.3985,0.5376,1.952,0.2442,0.6409,0.0421,100.0,0.0,A,A,0.0,0.0,100.0,D,D
ecoli-0-1_vs_2-3-5,KEEL,244,7,9.167,0.8645,0.1135,0.1091,0.0023,4.6096,0.4558,5.2246,1.0633,0.3461,0.0906,100.0,0.0,A,A,10.0,10.0,80.0,DOB,D
ecoli-0-2-6-7_vs_3-5,KEEL,224,7,9.182,0.8778,0.1691,0.1089,0.0033,4.3314,0.5206,4.2334,0.9855,0.4577,0.0917,100.0,0.0,A,A,16.7,10.0,73.3,DOB,D
glass-0-4_vs_5,KEEL,92,9,9.222,0.4155,0.1097,0.1085,0.0065,4.7962,0.666,1.7423,0.3501,0.4729,0.1346,96.7,3.3,AC,A,0.0,0.0,100.0,D,D
ecoli-0-3-4-6_vs_5,KEEL,205,7,9.25,0.5971,0.0739,0.1081,0.0,4.4385,0.5271,1.6138,0.2104,0.7795,0.0685,100.0,0.0,A,A,0.0,0.0,100.0,D,D
satimage,imblearn,6435,36,9.28,0.0891,0.0019,0.1078,0.0001,1.9839,0.0355,0.3373,0.0047,1.2354,0.0071,0.0,100.0,C,C,0.0,0.0,100.0,D,D
ecoli-0-3-4-7_vs_5-6,KEEL,257,7,9.28,0.7411,0.0791,0.1078,0.0003,4.6926,0.5427,2.2994,0.3948,0.6509,0.0828,100.0,0.0,A,A,0.0,0.0,100.0,D,D
yeast-0-5-6-7-9_vs_4,KEEL,528,8,9.353,0.3367,0.0437,0.1069,0.0011,3.2848,0.1951,1.1421,0.0995,0.8495,0.1529,86.7,13.3,AC,A,0.0,0.0,100.0,D,D
pen_digits,imblearn,10992,16,9.419,0.6302,0.0087,0.1062,0.0,5.2766,0.0704,1.2548,0.0059,0.8966,0.0062,100.0,0.0,A,A,0.0,0.0,100.0,D,D
abalone,imblearn,4177,10,9.683,0.2692,0.0071,0.1033,0.0001,2.6045,0.0549,1.01,0.0143,0.991,0.0192,76.7,23.3,AC,A,0.0,0.0,100.0,D,D
sick_euthyroid,imblearn,3163,42,9.795,0.6282,0.0259,0.1021,0.0002,5.9263,0.1474,0.5867,0.024,1.772,0.0798,0.0,100.0,C,C,0.0,0.0,100.0,D,D
vowel0,KEEL,988,13,9.978,1.2024,0.0465,0.1002,0.0001,7.1385,0.2365,1.797,0.0272,0.9353,0.0174,100.0,0.0,A,A,100.0,0.0,0.0,O,O
ecoli-0-6-7_vs_5,KEEL,220,6,10.0,0.6906,0.0958,0.1,0.0,4.9349,0.6191,2.062,0.283,0.6878,0.0795,100.0,0.0,A,A,0.0,0.0,100.0,D,D
glass-0-1-6_vs_2,KEEL,192,9,10.294,0.2086,0.0287,0.0971,0.0036,2.1029,0.1178,0.4928,0.0533,2.0733,0.1259,0.0,100.0,C,C,0.0,0.0,100.0,D,D
ecoli-0-1-4-7_vs_2-3-5-6,KEEL,336,7,10.586,0.7587,0.1168,0.0945,0.0018,4.3054,0.3792,4.9626,0.9328,0.3899,0.0904,100.0,0.0,A,A,0.0,10.0,90.0,DB,D
spectrometer,imblearn,531,93,10.8,1.3874,0.2451,0.0926,0.0001,7.7794,0.5832,6.7723,0.4377,0.2848,0.0453,100.0,0.0,A,A,86.7,6.7,6.7,OBD,O
led7digit-0-2-4-5-6-7-8-9_vs_1,KEEL,443,7,10.973,0.8032,0.0922,0.0911,0.0016,7.7557,0.8452,1.429,0.042,0.7957,0.0246,100.0,0.0,A,A,0.0,6.7,93.3,DB,D
ecoli-0-1_vs_5,KEEL,240,6,11.0,0.9428,0.1603,0.0909,0.0,5.8106,0.4964,3.0894,0.907,0.608,0.1189,100.0,0.0,A,A,16.7,23.3,60.0,DBO,D
glass-0-6_vs_5,KEEL,108,9,11.0,0.4367,0.0728,0.0909,0.0053,5.1519,0.3507,1.5058,0.3705,0.6477,0.1401,83.3,16.7,AC,A,0.0,0.0,100.0,D,D
glass-0-1-4-6_vs_2,KEEL,205,9,11.059,0.2066,0.0375,0.0904,0.0036,2.1754,0.1616,0.4591,0.0758,2.2968,0.1836,0.0,100.0,C,C,0.0,0.0,100.0,D,D
glass2,KEEL,214,9,11.588,0.1599,0.0243,0.0863,0.0033,2.2012,0.1688,0.4111,0.0519,2.0573,0.1791,0.0,100.0,C,C,0.0,0.0,100.0,D,D
car_eval_34,imblearn,1728,21,11.896,0.8765,0.0185,0.0841,0.0003,10.4263,0.2136,1.0002,0.0042,0.9998,0.0033,50.0,50.0,CA,C,0.0,0.0,100.0,D,D
